date,stock,value,change
2020-01-16,ISHARES DIGITAL ETF,6.64,0.013740458015267132
2020-01-17,AMD,45.9,0.027535258562793707
2020-01-17,ISHARES DIGITAL ETF,6.66,0.003012048192771122
2020-01-18,ISHARES DIGITAL ETF,6.66,0.0
2020-01-19,ISHARES DIGITAL ETF,6.65,-0.0015015015015015232
2020-01-20,ISHARES DIGITAL ETF,6.67,0.003007518796992459
2020-01-20,AMD,46.35,0.009803921568627416
2020-01-21,AMD,46.04,-0.006688241639697945
2020-01-21,ISHARES DIGITAL ETF,6.64,-0.004497751124437843
2020-01-22,AMD,46.36,0.0069504778453519656
2020-01-22,ISHARES DIGITAL ETF,6.66,0.003012048192771122
2020-01-23,ISHARES DIGITAL ETF,6.7,0.006006006006006093
2020-01-23,AMD,46.76,0.008628127696289845
2020-01-24,ISHARES DIGITAL ETF,6.67,-0.004477611940298498
2020-01-24,AMD,45.65,-0.0237382378100941
2020-01-26,ISHARES DIGITAL ETF,6.66,-0.0014992503748125774
2020-01-27,ISHARES DIGITAL ETF,6.51,-0.022522522522522626
2020-01-27,AMD,44.71,-0.02059145673603502
2020-01-28,ISHARES DIGITAL ETF,6.62,0.016897081413210557
2020-01-28,AMD,45.87,0.025944978751957004
2020-01-29,ISHARES DIGITAL ETF,6.62,0.0
2020-01-29,AMD,43.16,-0.059080008720296506
2020-01-30,ISHARES DIGITAL ETF,6.58,-0.006042296072507614
2020-01-30,AMD,44.21,0.024328081556997283
2020-01-31,ISHARES DIGITAL ETF,6.39,-0.028875379939209744
2020-01-31,AMD,42.34,-0.04229812259669752
2020-02-02,ISHARES DIGITAL ETF,6.39,0.0
2020-02-03,ISHARES DIGITAL ETF,6.5,0.017214397496087663
2020-02-03,AMD,43.42,0.025507794048181376
2020-02-04,ISHARES DIGITAL ETF,6.64,0.021538461538461506
2020-02-04,AMD,44.78,0.03132197144173188
2020-02-05,ISHARES DIGITAL ETF,6.63,-0.001506024096385561
2020-02-05,AMD,45.32,0.012058954890576068
2020-02-06,AMD,44.92,-0.008826125330979706
2020-02-06,ISHARES DIGITAL ETF,6.68,0.007541478129713397
2020-02-07,ISHARES DIGITAL ETF,6.67,-0.0014970059880239361
2020-02-07,AMD,45.42,0.011130899376669667
2020-02-09,ISHARES DIGITAL ETF,6.8,0.019490254872563728
2020-02-10,ISHARES DIGITAL ETF,6.75,-0.007352941176470562
2020-02-10,AMD,47.89,0.05438132981065613
2020-02-11,AMD,49.25,0.028398413029860015
2020-02-11,ISHARES DIGITAL ETF,6.71,-0.00592592592592589
2020-02-12,AMD,49.56,0.006294416243654899
2020-02-12,ISHARES DIGITAL ETF,6.77,0.008941877794336861
2020-02-13,ISHARES DIGITAL ETF,6.79,0.002954209748892156
2020-02-13,AMD,50.31,0.015133171912832921
2020-02-14,AMD,51.04,0.01451003776585158
2020-02-14,ISHARES DIGITAL ETF,6.81,0.002945508100147265
2020-02-16,ISHARES DIGITAL ETF,6.81,0.0
2020-02-17,AMD,51.68,0.012539184952978122
2020-02-17,ISHARES DIGITAL ETF,6.86,0.007342143906020615
2020-02-18,AMD,52.71,0.019930340557275494
2020-02-18,ISHARES DIGITAL ETF,6.81,-0.007288629737609464
2020-02-19,AMD,54.5,0.03395940049326507
2020-02-19,ISHARES DIGITAL ETF,6.87,0.008810572687224738
2020-02-20,ISHARES DIGITAL ETF,6.83,-0.005822416302765698
2020-02-20,AMD,53.08,-0.026055045871559712
2020-02-21,ISHARES DIGITAL ETF,6.71,-0.017569546120058566
2020-02-21,AMD,49.06,-0.07573474001507152
2020-02-24,AMD,45.25,-0.07766000815328178
2020-02-24,ISHARES DIGITAL ETF,6.45,-0.03874813710879277
2020-02-25,AMD,43.71,-0.03403314917127065
2020-02-25,ISHARES DIGITAL ETF,6.2,-0.03875968992248058
2020-02-26,AMD,43.62,-0.002059025394646641
2020-02-26,ISHARES DIGITAL ETF,6.32,0.019354838709677358
2020-02-27,ISHARES DIGITAL ETF,5.99,-0.05221518987341778
2020-02-27,AMD,40.03,-0.08230169646950936
2020-02-28,ISHARES DIGITAL ETF,5.76,-0.038397328881469184
2020-02-28,AMD,41.19,0.02897826630027467
2020-02-29,ISHARES DIGITAL ETF,5.77,0.0017361111111111605
2020-03-01,ISHARES DIGITAL ETF,5.77,0.0
2020-03-02,AMD,42.61,0.0344743869871329
2020-03-02,ISHARES DIGITAL ETF,5.92,0.025996533795493937
2020-03-03,ISHARES DIGITAL ETF,5.85,-0.011824324324324342
2020-03-03,AMD,41.78,-0.01947899554095278
2020-03-04,ISHARES DIGITAL ETF,6.02,0.029059829059828957
2020-03-04,AMD,44.99,0.07683101962661554
2020-03-05,AMD,42.87,-0.04712158257390542
2020-03-05,ISHARES DIGITAL ETF,5.81,-0.03488372093023251
2020-03-06,ISHARES DIGITAL ETF,5.64,-0.029259896729776247
2020-03-06,AMD,42.97,0.0023326335432702905
2020-03-09,ISHARES DIGITAL ETF,5.15,-0.08687943262411335
2020-03-09,AMD,37.1,-0.13660693507097965
2020-03-10,ISHARES DIGITAL ETF,5.35,0.03883495145631044
2020-03-10,AMD,40.11,0.08113207547169798
2020-03-11,ISHARES DIGITAL ETF,5.12,-0.04299065420560744
2020-03-11,AMD,40.44,0.008227374719521174
2020-03-12,AMD,34.0,-0.1592482690405539
2020-03-12,ISHARES DIGITAL ETF,4.63,-0.095703125
2020-03-13,AMD,39.41,0.15911764705882336
2020-03-13,ISHARES DIGITAL ETF,4.83,0.043196544276457916
